x_um,U_CB_V_vs_RHE,U_VB_V_vs_RHE,U_Fn_V_vs_RHE,U_Fp_V_vs_RHE,n_cm3,p_cm3,Jn_mA_cm2,Jp_mA_cm2,Jtotal_mA_cm2
0.5511111111111111,-0.046763970009137956,3.1532360299908624,0.05844711595951778,2.765602529410302,1.0000359986269034e+18,36212774019747.12,-0.14437604732660497,0.09437870601163886,-0.049997341314966116
0.5516666666666666,-0.0467639703461073,3.153236029653893,0.05844711596956563,2.765593441355547,1.0000359851199032e+18,36199967470649.914,-0.14540666615964787,0.0954093248446817,-0.04999734131496616
0.5522222222222222,-0.04676397068707627,3.153236029312924,0.05844711597968505,2.765584251329523,1.0000359714544385e+18,36187021833243.39,-0.14643728613870638,0.09643994482374024,-0.04999734131496612
0.5527777777777778,-0.04676397103205848,3.1532360289679415,0.0584471159898758,2.765574959223786,1.0000359576299905e+18,36173937107339.64,-0.14746790727616016,0.09747056596119402,-0.04999734131496615
0.5533333333333333,-0.04676397138106758,3.1532360286189327,0.05844711600013802,2.7655655649286883,1.0000359436460207e+18,36160713292878.26,-0.1484985295843882,0.09850118826942203,-0.04999734131496616
0.5538888888888888,-0.046763971734117615,3.1532360282658827,0.058447116010471825,2.7655560683331775,1.0000359295019799e+18,36147350389653.65,-0.14952915307577003,0.09953181176080386,-0.04999734131496616
0.5544444444444443,-0.046763972091223294,3.1532360279087768,0.05844711602087706,2.765546469324935,1.0000359151973002e+18,36133848397510.55,-0.1505597777626851,0.10056243644771892,-0.04999734131496616
0.5549999999999999,-0.046763972452399494,3.153236027547601,0.05844711603135373,2.76553676779039,1.0000359007314026e+18,36120207316374.97,-0.15159040365751297,0.10159306234254684,-0.04999734131496614
0.5555555555555555,-0.04676397281766159,3.1532360271823388,0.05844711604190189,2.7655269636145485,1.0000358861036865e+18,36106427146016.26,-0.15262103077263278,0.10262368945766662,-0.04999734131496616
0.5561111111111111,-0.046763973187025354,3.1532360268129747,0.05844711605252151,2.7655170566811753,1.0000358713135402e+18,36092507886314.34,-0.15365165912042406,0.10365431780545793,-0.04999734131496614
0.5566666666666666,-0.04676397356050693,3.1532360264394934,0.05844711606321264,2.7655070468727248,1.0000358563603319e+18,36078449537160.62,-0.1546822887132664,0.10468494739830025,-0.04999734131496614
0.5572222222222222,-0.04676397393812304,3.1532360260618773,0.058447116073975305,2.7654969340702307,1.0000358412434108e+18,36064252098321.914,-0.15571291956353916,0.10571557824857303,-0.04999734131496614
0.5577777777777778,-0.04676397431989088,3.1532360256801093,0.058447116084809334,2.7654867181534986,1.0000358259621134e+18,36049915569707.0,-0.15674355168362214,0.10674621036865597,-0.04999734131496616
0.5583333333333333,-0.04676397470582799,3.1532360252941722,0.05844711609571483,2.7654763990009514,1.0000358105157536e+18,36035439951161.7,-0.15777418508589433,0.1077768437709282,-0.04999734131496614
0.5588888888888889,-0.04676397509595237,3.153236024904048,0.0584471161066918,2.765465976489626,1.0000357949036302e+18,36020825242468.336,-0.15880481978273556,0.10880747846776943,-0.049997341314966116
0.5594444444444444,-0.046763975490282605,3.1532360245097175,0.0584471161177403,2.765455450495312,1.0000357791250182e+18,36006071443552.53,-0.1598354557865253,0.10983811447155918,-0.04999734131496614
0.56,-0.04676397588883785,3.1532360241111625,0.058447116128860235,2.76544482089236,1.0000357631791753e+18,35991178554214.266,-0.16086609310964337,0.11086875179467723,-0.04999734131496614
0.5605555555555556,-0.04676397629163764,3.1532360237083625,0.05844711614005167,2.765434087553769,1.0000357470653382e+18,35976146574264.11,-0.16189673176446887,0.1118993904495027,-0.04999734131496616
